"(2.03188944, -0.2152771)","(2.03588944, -0.2152771)","(2.03588944, -0.2112771)","(2.03188944, -0.2112771)"
"(2.03588944, -0.2152771)","(2.03988944, -0.2152771)","(2.03988944, -0.2112771)","(2.03588944, -0.2112771)"
"(2.03988944, -0.2152771)","(2.04388944, -0.2152771)","(2.04388944, -0.2112771)","(2.03988944, -0.2112771)"
"(2.04388944, -0.2152771)","(2.04788944, -0.2152771)","(2.04788944, -0.2112771)","(2.04388944, -0.2112771)"
"(2.04788944, -0.2152771)","(2.05188944, -0.2152771)","(2.05188944, -0.2112771)","(2.04788944, -0.2112771)"
"(2.05188944, -0.2152771)","(2.05588944, -0.2152771)","(2.05588944, -0.2112771)","(2.05188944, -0.2112771)"
"(2.05588944, -0.2152771)","(2.05988944, -0.2152771)","(2.05988944, -0.2112771)","(2.05588944, -0.2112771)"
"(2.05988944, -0.2152771)","(2.06388944, -0.2152771)","(2.06388944, -0.2112771)","(2.05988944, -0.2112771)"
"(2.06388944, -0.2152771)","(2.06788944, -0.2152771)","(2.06788944, -0.2112771)","(2.06388944, -0.2112771)"
"(2.06788944, -0.2152771)","(2.07188944, -0.2152771)","(2.07188944, -0.2112771)","(2.06788944, -0.2112771)"
"(2.07188944, -0.2152771)","(2.07588944, -0.2152771)","(2.07588944, -0.2112771)","(2.07188944, -0.2112771)"
"(2.07588944, -0.2152771)","(2.07988944, -0.2152771)","(2.07988944, -0.2112771)","(2.07588944, -0.2112771)"
"(2.07988944, -0.2152771)","(2.08388944, -0.2152771)","(2.08388944, -0.2112771)","(2.07988944, -0.2112771)"
"(2.08388944, -0.2152771)","(2.08788944, -0.2152771)","(2.08788944, -0.2112771)","(2.08388944, -0.2112771)"
"(2.08788944, -0.2152771)","(2.09188944, -0.2152771)","(2.09188944, -0.2112771)","(2.08788944, -0.2112771)"
"(2.09188944, -0.2152771)","(2.09588944, -0.2152771)","(2.09588944, -0.2112771)","(2.09188944, -0.2112771)"
"(2.09588944, -0.2152771)","(2.09988944, -0.2152771)","(2.09988944, -0.2112771)","(2.09588944, -0.2112771)"
"(2.09988944, -0.2152771)","(2.10388944, -0.2152771)","(2.10388944, -0.2112771)","(2.09988944, -0.2112771)"
"(2.10388944, -0.2152771)","(2.10788944, -0.2152771)","(2.10788944, -0.2112771)","(2.10388944, -0.2112771)"
"(2.10788944, -0.2152771)","(2.11188944, -0.2152771)","(2.11188944, -0.2112771)","(2.10788944, -0.2112771)"
"(2.10788944, -0.2112771)","(2.11188944, -0.2112771)","(2.11188944, -0.2072771)","(2.10788944, -0.2072771)"
"(2.10788944, -0.2072771)","(2.11188944, -0.2072771)","(2.11188944, -0.2032771)","(2.10788944, -0.2032771)"
"(2.10788944, -0.2032771)","(2.11188944, -0.2032771)","(2.11188944, -0.1992771)","(2.10788944, -0.1992771)"
"(2.11188944, -0.2032771)","(2.11588944, -0.2032771)","(2.11588944, -0.1992771)","(2.11188944, -0.1992771)"
"(2.11588944, -0.2032771)","(2.11988944, -0.2032771)","(2.11988944, -0.1992771)","(2.11588944, -0.1992771)"
"(2.11988944, -0.2032771)","(2.12388944, -0.2032771)","(2.12388944, -0.1992771)","(2.11988944, -0.1992771)"
"(2.12388944, -0.2032771)","(2.12788944, -0.2032771)","(2.12788944, -0.1992771)","(2.12388944, -0.1992771)"
"(2.12788944, -0.2032771)","(2.13188944, -0.2032771)","(2.13188944, -0.1992771)","(2.12788944, -0.1992771)"
"(2.12788944, -0.2072771)","(2.13188944, -0.2072771)","(2.13188944, -0.2032771)","(2.12788944, -0.2032771)"
"(2.12388944, -0.2072771)","(2.12788944, -0.2072771)","(2.12788944, -0.2032771)","(2.12388944, -0.2032771)"
"(2.11988944, -0.2072771)","(2.12388944, -0.2072771)","(2.12388944, -0.2032771)","(2.11988944, -0.2032771)"
"(2.11588944, -0.2072771)","(2.11988944, -0.2072771)","(2.11988944, -0.2032771)","(2.11588944, -0.2032771)"
"(2.11188944, -0.2072771)","(2.11588944, -0.2072771)","(2.11588944, -0.2032771)","(2.11188944, -0.2032771)"
"(2.11188944, -0.2112771)","(2.11588944, -0.2112771)","(2.11588944, -0.2072771)","(2.11188944, -0.2072771)"
"(2.11588944, -0.2112771)","(2.11988944, -0.2112771)","(2.11988944, -0.2072771)","(2.11588944, -0.2072771)"
"(2.11988944, -0.2112771)","(2.12388944, -0.2112771)","(2.12388944, -0.2072771)","(2.11988944, -0.2072771)"
"(2.12388944, -0.2112771)","(2.12788944, -0.2112771)","(2.12788944, -0.2072771)","(2.12388944, -0.2072771)"
"(2.12788944, -0.2112771)","(2.13188944, -0.2112771)","(2.13188944, -0.2072771)","(2.12788944, -0.2072771)"
"(2.11188944, -0.2152771)","(2.11588944, -0.2152771)","(2.11588944, -0.2112771)","(2.11188944, -0.2112771)"
"(2.11588944, -0.2152771)","(2.11988944, -0.2152771)","(2.11988944, -0.2112771)","(2.11588944, -0.2112771)"
"(2.11988944, -0.2152771)","(2.12388944, -0.2152771)","(2.12388944, -0.2112771)","(2.11988944, -0.2112771)"
"(2.12388944, -0.2152771)","(2.12788944, -0.2152771)","(2.12788944, -0.2112771)","(2.12388944, -0.2112771)"
"(2.12788944, -0.2152771)","(2.13188944, -0.2152771)","(2.13188944, -0.2112771)","(2.12788944, -0.2112771)"
"(2.12788944, -0.2192771)","(2.13188944, -0.2192771)","(2.13188944, -0.2152771)","(2.12788944, -0.2152771)"
"(2.12388944, -0.2192771)","(2.12788944, -0.2192771)","(2.12788944, -0.2152771)","(2.12388944, -0.2152771)"
"(2.11988944, -0.2192771)","(2.12388944, -0.2192771)","(2.12388944, -0.2152771)","(2.11988944, -0.2152771)"
"(2.11588944, -0.2192771)","(2.11988944, -0.2192771)","(2.11988944, -0.2152771)","(2.11588944, -0.2152771)"
"(2.11188944, -0.2192771)","(2.11588944, -0.2192771)","(2.11588944, -0.2152771)","(2.11188944, -0.2152771)"
"(2.10788944, -0.2192771)","(2.11188944, -0.2192771)","(2.11188944, -0.2152771)","(2.10788944, -0.2152771)"
"(2.10388944, -0.2192771)","(2.10788944, -0.2192771)","(2.10788944, -0.2152771)","(2.10388944, -0.2152771)"
"(2.09988944, -0.2192771)","(2.10388944, -0.2192771)","(2.10388944, -0.2152771)","(2.09988944, -0.2152771)"
"(2.09588944, -0.2192771)","(2.09988944, -0.2192771)","(2.09988944, -0.2152771)","(2.09588944, -0.2152771)"
"(2.09188944, -0.2192771)","(2.09588944, -0.2192771)","(2.09588944, -0.2152771)","(2.09188944, -0.2152771)"
"(2.08788944, -0.2192771)","(2.09188944, -0.2192771)","(2.09188944, -0.2152771)","(2.08788944, -0.2152771)"
"(2.08388944, -0.2192771)","(2.08788944, -0.2192771)","(2.08788944, -0.2152771)","(2.08388944, -0.2152771)"
"(2.07988944, -0.2192771)","(2.08388944, -0.2192771)","(2.08388944, -0.2152771)","(2.07988944, -0.2152771)"
"(2.07588944, -0.2192771)","(2.07988944, -0.2192771)","(2.07988944, -0.2152771)","(2.07588944, -0.2152771)"
"(2.07188944, -0.2192771)","(2.07588944, -0.2192771)","(2.07588944, -0.2152771)","(2.07188944, -0.2152771)"
"(2.06788944, -0.2192771)","(2.07188944, -0.2192771)","(2.07188944, -0.2152771)","(2.06788944, -0.2152771)"
"(2.06388944, -0.2192771)","(2.06788944, -0.2192771)","(2.06788944, -0.2152771)","(2.06388944, -0.2152771)"
"(2.05988944, -0.2192771)","(2.06388944, -0.2192771)","(2.06388944, -0.2152771)","(2.05988944, -0.2152771)"
"(2.05588944, -0.2192771)","(2.05988944, -0.2192771)","(2.05988944, -0.2152771)","(2.05588944, -0.2152771)"
"(2.05188944, -0.2192771)","(2.05588944, -0.2192771)","(2.05588944, -0.2152771)","(2.05188944, -0.2152771)"
"(2.04788944, -0.2192771)","(2.05188944, -0.2192771)","(2.05188944, -0.2152771)","(2.04788944, -0.2152771)"
"(2.04388944, -0.2192771)","(2.04788944, -0.2192771)","(2.04788944, -0.2152771)","(2.04388944, -0.2152771)"
"(2.03988944, -0.2192771)","(2.04388944, -0.2192771)","(2.04388944, -0.2152771)","(2.03988944, -0.2152771)"
"(2.03588944, -0.2192771)","(2.03988944, -0.2192771)","(2.03988944, -0.2152771)","(2.03588944, -0.2152771)"
"(2.03188944, -0.2192771)","(2.03588944, -0.2192771)","(2.03588944, -0.2152771)","(2.03188944, -0.2152771)"
"(2.03188944, -0.2232771)","(2.03588944, -0.2232771)","(2.03588944, -0.2192771)","(2.03188944, -0.2192771)"
"(2.03188944, -0.2272771)","(2.03588944, -0.2272771)","(2.03588944, -0.2232771)","(2.03188944, -0.2232771)"
"(2.03188944, -0.2312771)","(2.03588944, -0.2312771)","(2.03588944, -0.2272771)","(2.03188944, -0.2272771)"
"(2.11988944, -0.2232771)","(2.12388944, -0.2232771)","(2.12388944, -0.2192771)","(2.11988944, -0.2192771)"
"(2.11988944, -0.2272771)","(2.12388944, -0.2272771)","(2.12388944, -0.2232771)","(2.11988944, -0.2232771)"
"(2.11988944, -0.2312771)","(2.12388944, -0.2312771)","(2.12388944, -0.2272771)","(2.11988944, -0.2272771)"
"(2.11988944, -0.2352771)","(2.12388944, -0.2352771)","(2.12388944, -0.2312771)","(2.11988944, -0.2312771)"
"(2.11988944, -0.2392771)","(2.12388944, -0.2392771)","(2.12388944, -0.2352771)","(2.11988944, -0.2352771)"
"(2.11988944, -0.2432771)","(2.12388944, -0.2432771)","(2.12388944, -0.2392771)","(2.11988944, -0.2392771)"
"(2.11988944, -0.2472771)","(2.12388944, -0.2472771)","(2.12388944, -0.2432771)","(2.11988944, -0.2432771)"
"(2.11588944, -0.2472771)","(2.11988944, -0.2472771)","(2.11988944, -0.2432771)","(2.11588944, -0.2432771)"
"(2.11188944, -0.2472771)","(2.11588944, -0.2472771)","(2.11588944, -0.2432771)","(2.11188944, -0.2432771)"
"(2.10788944, -0.2472771)","(2.11188944, -0.2472771)","(2.11188944, -0.2432771)","(2.10788944, -0.2432771)"
"(2.10788944, -0.2432771)","(2.11188944, -0.2432771)","(2.11188944, -0.2392771)","(2.10788944, -0.2392771)"
"(2.10388944, -0.2432771)","(2.10788944, -0.2432771)","(2.10788944, -0.2392771)","(2.10388944, -0.2392771)"
"(2.09988944, -0.2432771)","(2.10388944, -0.2432771)","(2.10388944, -0.2392771)","(2.09988944, -0.2392771)"
"(2.09588944, -0.2432771)","(2.09988944, -0.2432771)","(2.09988944, -0.2392771)","(2.09588944, -0.2392771)"
"(2.09188944, -0.2432771)","(2.09588944, -0.2432771)","(2.09588944, -0.2392771)","(2.09188944, -0.2392771)"
"(2.08788944, -0.2432771)","(2.09188944, -0.2432771)","(2.09188944, -0.2392771)","(2.08788944, -0.2392771)"
"(2.08388944, -0.2432771)","(2.08788944, -0.2432771)","(2.08788944, -0.2392771)","(2.08388944, -0.2392771)"
"(2.07988944, -0.2432771)","(2.08388944, -0.2432771)","(2.08388944, -0.2392771)","(2.07988944, -0.2392771)"
"(2.07988944, -0.2392771)","(2.08388944, -0.2392771)","(2.08388944, -0.2352771)","(2.07988944, -0.2352771)"
"(2.08388944, -0.2392771)","(2.08788944, -0.2392771)","(2.08788944, -0.2352771)","(2.08388944, -0.2352771)"
"(2.08788944, -0.2392771)","(2.09188944, -0.2392771)","(2.09188944, -0.2352771)","(2.08788944, -0.2352771)"
"(2.09188944, -0.2392771)","(2.09588944, -0.2392771)","(2.09588944, -0.2352771)","(2.09188944, -0.2352771)"
"(2.09588944, -0.2392771)","(2.09988944, -0.2392771)","(2.09988944, -0.2352771)","(2.09588944, -0.2352771)"
"(2.09588944, -0.2352771)","(2.09988944, -0.2352771)","(2.09988944, -0.2312771)","(2.09588944, -0.2312771)"
"(2.09188944, -0.2352771)","(2.09588944, -0.2352771)","(2.09588944, -0.2312771)","(2.09188944, -0.2312771)"
"(2.08788944, -0.2352771)","(2.09188944, -0.2352771)","(2.09188944, -0.2312771)","(2.08788944, -0.2312771)"
"(2.08388944, -0.2352771)","(2.08788944, -0.2352771)","(2.08788944, -0.2312771)","(2.08388944, -0.2312771)"
"(2.07988944, -0.2352771)","(2.08388944, -0.2352771)","(2.08388944, -0.2312771)","(2.07988944, -0.2312771)"
"(2.03188944, -0.2112771)","(2.03588944, -0.2112771)","(2.03588944, -0.2072771)","(2.03188944, -0.2072771)"
"(2.09588944, -0.2472771)","(2.09988944, -0.2472771)","(2.09988944, -0.2432771)","(2.09588944, -0.2432771)"
"(2.12388944, -0.1992771)","(2.12788944, -0.1992771)","(2.12788944, -0.1952771)","(2.12388944, -0.1952771)"
"(2.12788944, -0.1992771)","(2.13188944, -0.1992771)","(2.13188944, -0.1952771)","(2.12788944, -0.1952771)"
"(2.03188944, -0.27729463)","(2.03588944, -0.27729463)","(2.03588944, -0.27329463)","(2.03188944, -0.27329463)"
"(2.03588944, -0.27729463)","(2.03988944, -0.27729463)","(2.03988944, -0.27329463)","(2.03588944, -0.27329463)"
"(2.03988944, -0.27729463)","(2.04388944, -0.27729463)","(2.04388944, -0.27329463)","(2.03988944, -0.27329463)"
"(2.04388944, -0.27729463)","(2.04788944, -0.27729463)","(2.04788944, -0.27329463)","(2.04388944, -0.27329463)"
"(2.04788944, -0.27729463)","(2.05188944, -0.27729463)","(2.05188944, -0.27329463)","(2.04788944, -0.27329463)"
"(2.04788944, -0.27329463)","(2.05188944, -0.27329463)","(2.05188944, -0.26929463)","(2.04788944, -0.26929463)"
"(2.05188944, -0.27329463)","(2.05588944, -0.27329463)","(2.05588944, -0.26929463)","(2.05188944, -0.26929463)"
"(2.05188944, -0.27729463)","(2.05588944, -0.27729463)","(2.05588944, -0.27329463)","(2.05188944, -0.27329463)"
"(2.05188944, -0.28129463)","(2.05588944, -0.28129463)","(2.05588944, -0.27729463)","(2.05188944, -0.27729463)"
"(2.04788944, -0.28129463)","(2.05188944, -0.28129463)","(2.05188944, -0.27729463)","(2.04788944, -0.27729463)"
"(2.04388944, -0.28129463)","(2.04788944, -0.28129463)","(2.04788944, -0.27729463)","(2.04388944, -0.27729463)"
"(2.03988944, -0.28129463)","(2.04388944, -0.28129463)","(2.04388944, -0.27729463)","(2.03988944, -0.27729463)"
"(2.03588944, -0.28129463)","(2.03988944, -0.28129463)","(2.03988944, -0.27729463)","(2.03588944, -0.27729463)"
"(2.03188944, -0.28129463)","(2.03588944, -0.28129463)","(2.03588944, -0.27729463)","(2.03188944, -0.27729463)"
"(2.05588944, -0.28129463)","(2.05988944, -0.28129463)","(2.05988944, -0.27729463)","(2.05588944, -0.27729463)"
"(2.05988944, -0.28129463)","(2.06388944, -0.28129463)","(2.06388944, -0.27729463)","(2.05988944, -0.27729463)"
"(2.05988944, -0.27729463)","(2.06388944, -0.27729463)","(2.06388944, -0.27329463)","(2.05988944, -0.27329463)"
"(2.06388944, -0.28129463)","(2.06788944, -0.28129463)","(2.06788944, -0.27729463)","(2.06388944, -0.27729463)"
"(2.06788944, -0.28129463)","(2.07188944, -0.28129463)","(2.07188944, -0.27729463)","(2.06788944, -0.27729463)"
"(2.06788944, -0.27729463)","(2.07188944, -0.27729463)","(2.07188944, -0.27329463)","(2.06788944, -0.27329463)"
"(2.06788944, -0.27329463)","(2.07188944, -0.27329463)","(2.07188944, -0.26929463)","(2.06788944, -0.26929463)"
"(2.07188944, -0.27329463)","(2.07588944, -0.27329463)","(2.07588944, -0.26929463)","(2.07188944, -0.26929463)"
"(2.07188944, -0.27729463)","(2.07588944, -0.27729463)","(2.07588944, -0.27329463)","(2.07188944, -0.27329463)"
"(2.07188944, -0.28129463)","(2.07588944, -0.28129463)","(2.07588944, -0.27729463)","(2.07188944, -0.27729463)"
"(2.07588944, -0.28129463)","(2.07988944, -0.28129463)","(2.07988944, -0.27729463)","(2.07588944, -0.27729463)"
"(2.07588944, -0.27729463)","(2.07988944, -0.27729463)","(2.07988944, -0.27329463)","(2.07588944, -0.27329463)"
"(2.07588944, -0.27329463)","(2.07988944, -0.27329463)","(2.07988944, -0.26929463)","(2.07588944, -0.26929463)"
"(2.07988944, -0.27329463)","(2.08388944, -0.27329463)","(2.08388944, -0.26929463)","(2.07988944, -0.26929463)"
"(2.07988944, -0.27729463)","(2.08388944, -0.27729463)","(2.08388944, -0.27329463)","(2.07988944, -0.27329463)"
"(2.07988944, -0.28129463)","(2.08388944, -0.28129463)","(2.08388944, -0.27729463)","(2.07988944, -0.27729463)"
"(2.08388944, -0.28129463)","(2.08788944, -0.28129463)","(2.08788944, -0.27729463)","(2.08388944, -0.27729463)"
